        Time	Energy		x1				x2			x3				x4			x5			x6	
       0.000    4229.592   38788.937   62470.428    11477.966   10537.921   30075.511   66014.218
     100.000    4327.993   10352.805   64365.822    14037.216   10610.551     1289.938   68253.906
     200.000    4197.900    9861.728   63806.594    14162.001   10630.373     2155.217   68094.010
     300.000    4031.523    9853.226   63455.154    14463.603   10956.519     2829.252   68599.024
     400.000    3792.719    9535.952   63247.896    14160.915   10675.863     2843.413   68349.489
     500.000    3632.015    9471.617   63855.246    13992.129   10546.813     2814.043   69063.575
     600.000    3732.402    9599.621   63745.375    13927.818   10427.236     2452.215   68564.227
     700.000    3384.999    9223.706   65113.507    14283.129   10715.827     3152.227   70537.139
     800.000    3478.226   10783.953   62034.847    14250.926   10521.802     1588.498   67199.948
     900.000    3394.764   10634.759   62209.764    13891.413   10468.720     1495.856   67522.921
    1000.000    3450.149   10177.880   61824.222    14189.654   10487.807     2747.252   67597.359
    1100.000    3230.650   10179.123   62030.398    14132.723   10490.710     2599.781   67936.639
    1200.000    3526.551   11583.752   60105.932    14148.529   10501.160     1139.689   65655.454
    1300.000    3394.699   10892.141   61757.904    14328.006   10818.438     1965.777   67711.556
    1400.000    3025.913   10697.375   60819.379    13998.523   10594.592     1930.092   67017.002
    1500.000    3193.416   10757.871   61762.202    14150.049   10766.145     2117.657   68060.411
    1600.000    3314.047   11025.232   61701.579    13822.442   10381.584     1644.654   67616.560
    1700.000    3292.943    9529.116   63097.281    13999.171   10547.660     3389.197   69271.139
    1800.000    2966.796   10273.618   62734.288    13879.528   10606.840     2027.361   68795.784
    1900.000    3275.657   10067.779   62458.272    13886.965   10222.226     2585.472   68171.128
    2000.000    3151.520   10565.940   60947.470    14247.108   10590.291     2549.534   67254.607
    2100.000    3073.826    9096.154   63534.167    13891.483   10529.557     3478.943   69673.511
    2200.000    3273.401   10179.180   61387.481    13792.082   10774.932     2370.572   67646.682
    2300.000    3361.023   10683.843   61858.155    14061.448   10756.882     2144.825   68021.235
    2400.000    3291.479    9864.188   61432.869    14187.726   10810.338     3117.754   67745.945
    2500.000    3103.812    9713.375   62187.741    13850.155   10654.743     3268.118   68870.012
    2600.000    3202.285    9780.628   63588.195    13965.067   10951.534     3101.156   70254.161
    2700.000    3100.096    9228.313   63590.065    14428.521   11266.700     4284.252   70840.713
    2800.000    3418.074   10406.915   63057.772    13830.118   10823.888     2342.936   69383.318
    2900.000    3170.791    9951.967   63355.458    14012.950   11081.872     2992.417   70197.973
    3000.000    3208.801    9946.706   62772.338    13996.410   10969.814     3125.142   69608.788
    3100.000    2948.092    9621.581   63665.430    14097.530   11104.015     3240.743   70586.147
    3200.000    2782.208   10382.398   62320.798    14401.053   11178.317     2796.402   69494.654
    3300.000    2805.643   11155.228   60589.126    13981.435   10993.205     1510.075   67460.556
    3400.000    2773.931   10754.229   61560.920    14417.788   11320.147     2320.983   68764.561
    3500.000    2622.972   11419.283   61460.247    14194.940   11180.584     1856.155   69098.356
    3600.000    2704.372   11288.697   61765.810    14167.988   11179.874     2048.585   69410.607
    3700.000    2462.494   10465.221   62502.777    14128.649   11194.424     2853.698   70424.977
    3800.000    2872.031   10695.924   62542.623    13978.990   10937.480     2368.712   69693.718
    3900.000    2653.468    9998.093   62306.335    14164.559   11146.643     3047.693   69680.737
    4000.000    2626.261    9955.494   62999.163    14188.729   10922.245     3405.376   70467.288
    4100.000    2925.904   11248.118   61070.625    13954.927   10853.423     1782.688   68074.023
    4200.000    2782.317   10464.291   62232.547    14120.423   11133.575     2804.410   69732.082
    4300.000    2616.328   10870.710   61192.351    14510.712   11193.365     2719.739   68849.126
    4400.000    2648.819    9986.430   62010.582    14234.603   11064.973     3361.247   69539.810
    4500.000    2885.365   11469.100   61481.224    13748.001   10766.932     1142.427   68226.316
    4600.000    2679.301   10400.554   61076.637    13818.280   10871.609     2737.913   68589.131
    4700.000    2679.194   11015.175   60899.529    14134.014   10804.246     2228.784   68134.526
    4800.000    2692.961   11920.777   59777.326    14134.933   11057.538     1570.502   67498.248
    4900.000    2739.107   11888.603   59823.499    14068.869   11024.560     1127.621   67056.307
    5000.000    2984.877   12241.277   59593.583    14280.438   11215.231      981.316   66766.093
    5100.000    2935.048   12158.500   59367.201    14038.487   11048.726      679.556   66280.448
    5200.000    2907.807   12356.137   60213.610    14155.141   11245.636      702.773   67455.208
    5300.000    2725.137   10379.771   61550.236    14087.904   10828.858     2533.851   68479.675
    5400.000    2623.548   11048.766   60931.023    14170.633   11016.742     2043.191   68245.541
    5500.000    2590.062   12672.338   59612.938    14119.275   10774.377      286.469   66636.784
    5600.000    2787.526   11630.862   60627.889    14196.377   10845.797     1481.232   67601.877
    5700.000    2997.483   10863.232   61423.644    14184.676   11428.659     2238.297   68771.674
    5800.000    2645.059   10905.936   61516.187    14225.027   11343.719     2397.031   69292.787
    5900.000    2560.293    9881.312   62518.146    14062.472   10995.876     3424.737   70197.306
    6000.000    2664.947   10452.967   61761.934    14241.260   11288.541     2959.493   69556.728
    6100.000    2565.616   10888.385   62119.461    14056.590   11288.680     2367.619   70041.939
    6200.000    2360.262   10414.750   61418.646    14009.462   11026.148     3072.669   69562.488
    6300.000    2693.182   11599.875   60347.642    14160.391   11185.505     1790.162   68069.610
    6400.000    2395.624   10846.352   60503.964    14251.046   10769.094     2817.356   68290.097
    6500.000    2381.107   11417.614   60722.111    14085.843   10903.937     1784.731   68361.444
    6600.000    2524.244   11213.427   60765.450    14003.476   10922.292     1995.859   68369.308
    6700.000    2528.349   10655.238   61203.726    14100.802   11066.349     2755.047   69051.210
    6800.000    2530.173   10797.214   61228.022    14063.653   11140.684     2352.552   68924.645
    6900.000    2397.192   10403.812   61461.032    14172.283   11067.671     3062.286   69425.327
    7000.000    2578.784   10649.903   61543.349    14279.154   11400.852     2827.891   69564.056
