        Time	Energy		x1				x2			x3				x4			x5			x6	
       0.000    4283.543   38788.866   62667.505    11997.290   10879.502   29376.249   66678.790
     100.000    3834.113   10785.711   63746.253    14339.192   10628.477     1449.806   68436.943
     200.000    3526.044    8906.586   66054.632    14300.717   10205.610     3711.537   71051.605
     300.000    3159.929    9161.615   64902.057    14186.393   10316.854     3472.626   70506.830
     400.000    3282.484    8755.461   64339.247    14145.218   10193.023     3437.700   69297.728
     500.000    3251.238    8759.621   64602.392    14311.811   10137.161     3929.228   69865.354
     600.000    3185.878    8029.166   65113.743    14036.268    9964.864     4479.375   70365.003
     700.000    3492.472    9064.385   64107.351    14066.096    9969.110     3443.077   69025.355
     800.000    3054.582    8770.446   64149.401    14223.636   10116.287     3761.757   69519.674
     900.000    3266.865    9541.798   63449.661    13846.500   10201.735     2798.255   68878.085
    1000.000    3232.180    9599.982   62642.038    14291.839   10148.799     3049.782   67916.582
    1100.000    3187.406   10147.394   61301.909    14151.665    9906.141     2574.061   66590.433
    1200.000    3396.739    9664.743   63627.089    14016.606   10430.554     2794.386   69103.427
    1300.000    3406.991   10175.202   63041.778    14182.922   10347.904     2536.326   68511.297
    1400.000    3142.460    9883.016   62670.807    13977.515   10050.954     2499.120   67983.923
    1500.000    3252.264   10324.792   63106.683    14228.423   10297.075     2227.183   68475.046
    1600.000    3250.585    9530.107   64557.732    14036.084   10111.721     2912.993   69825.884
    1700.000    3439.251   10613.844   62367.748    14400.942   10683.473     2290.625   68115.496
    1800.000    3399.711   10215.681   62771.685    14056.249   10163.728     2348.363   68043.497
    1900.000    3277.765   10327.986   63602.712    14114.570   10343.981     2402.785   69285.129
    2000.000    3384.061    9530.375   62467.353    14060.065   10129.767     2933.333   67616.702
    2100.000    2991.630    9356.285   62134.305    14184.941   10514.886     2937.355   67766.260
    2200.000    3535.249    8449.385   64667.116    14024.849   10287.535     3850.788   69694.726
    2300.000    3437.534    9255.933   64032.723    14161.683   10219.914     3035.136   68944.489
    2400.000    3808.253    9499.491   62990.772    14332.820   10496.476     3110.939   67956.605
    2500.000    3604.350    9364.776   63963.557    14143.398   10490.290     3266.741   69337.616
    2600.000    3624.591    9357.782   64003.618    14089.362   10376.556     3302.181   69326.183
    2700.000    3181.162    9704.994   62865.333    14116.492   10422.971     2675.714   68371.357
    2800.000    3229.224   10077.796   64027.048    14198.918   10529.960     2449.789   69656.450
    2900.000    3324.447    9827.383   63321.752    13992.579   10409.682     2550.061   68791.852
    3000.000    3393.196    9763.768   62923.148    14336.961   10544.851     2974.994   68476.603
    3100.000    3103.440    9322.116   63940.060    14601.611   10559.763     3616.482   69733.369
    3200.000    3259.833    9186.696   62983.025    14267.977   10444.820     3283.223   68369.955
    3300.000    3149.912    9206.219   63526.299    14296.070   10382.597     3419.641   69088.774
    3400.000    3051.331    9192.277   64307.818    14175.547   10420.116     3460.894   70154.227
    3500.000    3381.637    9051.385   64234.294    14295.115   10566.274     3682.894   69858.096
    3600.000    3320.310    9055.077   63543.591    14213.491   10569.688     3485.420   69119.974
    3700.000    3348.319    8650.767   64651.256    14333.943   10677.066     4058.377   70355.203
    3800.000    3121.498    9687.916   64463.643    14030.289   10365.374     2738.297   70103.443
    3900.000    3149.116    8977.806   63419.535    14087.383   10623.206     3239.285   69023.333
    4000.000    3280.410    9183.187   63821.599    14239.689   10661.179     3217.496   69363.362
    4100.000    3074.201    9092.214   64036.715    14221.905   10583.691     3367.050   69783.563
    4200.000    3157.046    8256.241   64449.173    14263.964   10590.193     4066.117   69940.714
    4300.000    3238.536    9271.769   63677.828    14077.891   10503.006     2922.332   69058.509
    4400.000    3144.863    9311.352   64253.674    14071.273   10498.145     3016.583   69863.618
    4500.000    3441.108   10020.120   62970.986    14033.843   10555.958     2410.636   68482.748
    4600.000    3389.966   10966.424   61875.918    13893.741   10583.352     1004.969   67146.957
    4700.000    3411.097    9744.117   63420.533    14046.159   10736.522     2493.790   68937.706
    4800.000    3560.200    9966.163   63333.914    14142.602   10596.567     2499.680   68693.522
    4900.000    3349.053   10137.295   62851.728    14070.702   10625.385     1824.865   68019.519
    5000.000    3317.977    9980.636   63437.638    14128.020   10307.287     2551.300   68830.866
    5100.000    3336.674   10514.031   63369.279    14219.332   10726.026     1972.758   69026.087
    5200.000    3266.528   10840.439   61769.765    14182.121   10452.815     1643.820   67258.190
    5300.000    3017.938   10261.644   63000.488    14050.684   10699.038     2002.285   68894.833
    5400.000    3179.825   11366.607   61607.790    14075.829   10760.559     1182.675   67661.977
    5500.000    3454.541   10304.364   61735.499    14386.847   10490.706     2259.128   66948.310
    5600.000    3364.600   10346.857   62536.897    14316.467   10990.135     2196.682   68389.504
    5700.000    3212.373   11127.347   61514.701    14030.448   10588.818     1265.216   67253.263
    5800.000    3307.171   11103.357   61392.252    14249.172   10705.200     1636.699   67281.165
    5900.000    3006.103    9931.603   62948.915    14151.811   10466.708     2699.807   68889.119
    6000.000    3094.145   11249.106   61139.618    14078.442   10510.897     1121.301   66848.335
    6100.000    3034.122   11183.452   61647.124    14404.651   10626.238     1513.029   67531.071
    6200.000    3002.624   11068.608   61501.962    13864.456   10662.065     1200.170   67565.723
    6300.000    2891.351   10037.963   61890.555    14158.554   10710.393     2515.512   68104.517
    6400.000    3126.720   11919.091   60681.368    14154.401   10621.548      731.408   66672.294
    6500.000    3068.870   11290.387   60533.863    14047.716   10739.250      792.248   66239.163
    6600.000    3128.941   10302.872   61648.821    14271.415   10769.281     2074.904   67395.522
    6700.000    3174.347   10160.068   62397.241    14116.641   10476.571     2275.269   68018.162
    6800.000    2957.266   11378.683   60945.332    13755.365   10564.503      757.273   66933.161
    6900.000    3170.131   10623.206   61522.075    14120.762   10620.864     1870.338   67345.589
    7000.000    2830.894   10298.507   61810.166    14208.002   10773.659     2296.215   68139.652
    7100.000    3089.047   10762.265   61140.209    14128.091   10911.469     1843.208   67440.013
    7200.000    3031.410   10851.186   61836.949    13993.475   10456.405     1540.022   67659.675
    7300.000    2999.343   11456.871   61244.513    14200.796   10675.847     1200.750   67377.842
    7400.000    3032.650   11001.040   61012.677    14076.022   10614.066     1641.583   67160.695
    7500.000    3213.557   10219.484   63118.044    14065.859   10796.264     2272.908   69127.285
    7600.000    3138.211   10861.417   61289.645    14109.986   10916.215     1681.646   67500.726
    7700.000    3155.503   10173.078   62362.826    14295.987   10680.879     2261.937   68027.229
    7800.000    2954.106    9782.834   63554.391    14083.622   10873.281     2519.263   69692.041
    7900.000    2888.584    9946.917   62537.032    13933.812   10987.947     2215.982   68865.481
    8000.000    3044.002   10134.491   62896.859    13845.938   10776.866     1853.369   68771.644
    8100.000    3179.337    9391.760   63527.168    14251.218   10966.856     3103.911   69559.140
    8200.000    2945.739   10155.015   63888.212    14088.200   10688.488     2227.192   69924.968
    8300.000    3034.736    9393.718   64485.574    14099.295   10800.663     3098.934   70644.857
    8400.000    2841.657   10411.963   62134.327    14227.045   10586.369     2318.671   68382.627
    8500.000    2910.729    9742.611   63140.542    14140.589   10449.745     2933.156   69214.735
    8600.000    2895.918   11672.926   61822.495    14029.292   10716.395      809.215   68095.821
    8700.000    3180.582   10283.224   62203.879    14336.156   10584.906     2339.595   67894.866
    8800.000    3268.939   11019.345   60847.876    13997.771   10627.416     1184.500   66412.427
    8900.000    3070.816    9754.826   62841.440    14129.442   10717.569     2588.732   68702.308
    9000.000    3220.697   10413.648   62162.459    13866.164   10498.347     2051.381   68038.973
    9100.000    3179.922    9974.423   62994.564    14210.104   10764.220     2558.220   68901.401
    9200.000    3124.633   10824.393   62507.022    13999.429   10721.229     1486.366   68414.948
    9300.000    3083.356    9743.564   62700.339    13851.477   10497.624     2420.753   68427.446
    9400.000    2883.592    9396.835   62616.068    14018.229   10886.907     3180.336   69178.324
    9500.000    2956.579   10114.484   63186.898    14251.440   10807.911     2445.418   69346.692
    9600.000    3104.666    9762.635   63476.674    14022.666   11021.449     2533.746   69667.172
    9700.000    2988.829    9696.634   63359.263    14059.001   10678.046     2776.358   69462.470
    9800.000    2985.350   10241.079   62391.181    14084.518   10603.274     1772.614   67938.281
    9900.000    3168.138    9015.829   62599.418    14015.725   10799.254     3096.009   68326.647
   10000.000    3082.005   11478.659   60199.939    14422.548   10901.508     1098.626   66174.178
   10100.000    3004.799   10002.399   62311.668    14080.374   10570.958     2491.149   68291.001
   10200.000    3177.110   11168.028   60791.245    14213.998   11032.539     1343.155   66943.859
   10300.000    3177.547    9696.324   62296.778    14345.754   10987.083     2884.519   68341.403
   10400.000    3109.889    9410.686   62418.293    14310.291   10841.322     3228.366   68478.486
   10500.000    3085.568    9740.808   62169.343    14277.161   10730.208     2797.785   68075.415
   10600.000    2927.607   10407.815   61512.586    14229.217   10686.520     2360.015   67810.112
   10700.000    3303.042    9804.236   62392.386    14266.166   10701.380     2765.865   68094.658
   10800.000    3352.363   10851.258   61176.921    13970.831   10974.569     1526.261   67205.815
   10900.000    2957.647   10095.080   61658.997    14174.971   10652.504     2377.440   67651.402
   11000.000    2944.542   10094.731   61413.367    14020.698   10761.491     2261.544   67565.893
   11100.000    2972.189    9556.202   62216.573    13692.293   10469.194     2436.981   68014.469
   11200.000    3061.036   10228.897   60409.071    14149.222   10701.923     2409.460   66539.093
   11300.000    2863.155    9441.723   62030.045    14062.773   10721.192     3224.866   68491.898
   11400.000    3297.796    9665.789   62303.348    13903.176   10788.012     2838.575   68394.751
   11500.000    2894.291    9594.637   61993.762    14089.318   10823.248     3139.761   68567.799
   11600.000    2928.840   10235.043   61569.481    14061.734   10676.236     2330.336   67820.522
   11700.000    3178.256    9900.834   62592.102    14060.288   10950.626     2653.859   68858.877
   11800.000    2981.107    9718.779   63427.807    14129.709   10953.117     2960.294   69949.180
   11900.000    2993.453   10448.164   62795.387    13967.561   10790.932     2212.083   69285.553
   12000.000    2678.021    9499.727   63516.134    14053.889   10746.278     3311.740   70341.970
   12100.000    3050.840    8890.745   63334.521    14183.411   11025.440     3734.773   69751.228
   12200.000    2865.856    9104.932   63085.359    13692.404   10538.475     3239.478   69409.983
   12300.000    3053.166    9778.677   62866.571    14015.025   10820.805     2970.186   69368.050
