        Time	Energy		x1				x2			x3				x4			x5			x6	
       0.000    3978.547   38912.863   62259.879    11206.603   10254.710   30483.928   65758.373
     100.000    3755.547    9753.289   64491.530    13700.546   10803.288     1218.924   68810.937
     200.000    3393.785   10067.692   64222.856    13819.468   10782.056     1260.349   69119.701
     300.000    3809.772    9885.933   63248.147    13495.148   10855.953     1033.197   67718.310
     400.000    3337.309   10274.425   61664.599    13635.635   10492.894      763.120   66222.094
     500.000    3716.853   10083.782   63223.530    13687.304   11058.532     1220.076   68181.763
     600.000    3080.293   11014.518   62063.789    13668.067   10747.052      237.445   67314.444
     700.000    3273.523   10130.017   61970.771    13648.575   10549.711     1039.839   66768.241
     800.000    3168.275   10217.081   62318.663    13724.395   10747.326      900.376   67290.776
     900.000    3168.555   10619.590   61455.671    13909.969   10896.609      434.571   66327.916
    1000.000    3337.163    9993.699   62505.080    13741.344   10520.089     1368.697   67309.058
    1100.000    3193.014    9544.294   62798.890    13555.892   10654.665     1558.206   67807.148
    1200.000    2881.952   11365.325   60625.416    13646.118   10787.224     223.441   66026.454
    1300.000    3215.728   10638.532   61175.207    13731.801   10785.027      338.427   65989.663
    1400.000    3165.789   11064.510   60209.523    13773.795   11057.328      218.249   65610.026
    1500.000    3140.942    9794.752   61659.484    13994.507   10893.231     1810.630   67022.647
    1600.000    3348.790    9756.147   62338.003    13656.034   10875.218     1344.144   67308.689
    1700.000    3193.514    9878.625   62651.768    13649.500   10938.549     1273.116   67899.044
    1800.000    3228.650    8663.550   63401.388    13906.738   10975.676     2844.874   68750.100
    1900.000    3327.025    9603.561   62255.429    13748.108   11130.690     1785.852   67700.398
    2000.000    3282.480    8126.780   64728.825    13619.404   10912.284     3047.534   69913.540
    2100.000    3483.453    9270.070   63028.668    13976.700   11481.608     2003.201   68323.394
    2200.000    3113.837    9561.170   62419.092    14034.407   11595.602     1710.298   68137.918
    2300.000    3164.047    9856.401   62206.338    13906.723   11518.291     1215.556   67725.815
    2400.000    3192.992    9946.697   63067.564    13667.394   11005.323     1159.944   68319.143
    2500.000    3227.853    8976.930   63564.845    13975.696   11441.002     2260.065   69039.294
    2600.000    3106.456    8958.710   64466.081    13956.634   11151.847     2284.050   69797.598
    2700.000    3190.390    8751.593   63702.149    14109.315   11332.666     2716.957   69203.661
    2800.000    2986.241    9440.768   63575.695    14184.614   11531.240     2157.912   69534.760
    2900.000    3093.958   10643.295   62209.188    13934.038   11476.610      673.016   67974.113
    3000.000    3151.478   11010.501   60568.004    13881.125   11376.609      331.077   66253.588
    3100.000    3306.767   10353.417   61550.807    13860.781   11336.353      680.786   66753.814
    3200.000    3414.878    9856.327   61822.806    13717.402   11393.133     1011.867   66951.853
    3300.000    3171.624    9291.359   63255.501    13692.946   11273.483     1925.962   68881.735
    3400.000    3431.447    9936.596   62929.136    13944.650   11244.964     1108.319   67842.918
    3500.000    3332.898   10102.550   60755.457    13946.788   11395.872      830.825   65805.017
    3600.000    3467.762    9288.230   63079.279    13868.884   11000.104     1976.078   68007.045
    3700.000    3331.928    9823.943   62473.234    14041.498   11482.656     1420.350   67826.756
    3800.000    3538.363   10653.013   61944.805    13916.762   11067.797      364.269   66574.758
    3900.000    3470.603    8371.732   63879.099    13961.531   11440.441     2440.583   68699.722
    4000.000    3357.836    8668.911   64273.585    14231.287   11731.159     2578.284   69662.817
    4100.000    3345.301    8700.515   63628.619    14047.818   11635.094     2465.182   69036.292
    4200.000    3185.270    8919.678   63918.776    13824.848   11316.505     1917.041   69061.883
    4300.000    3301.797    8244.621   64396.516    14213.728   11415.877     3174.376   69715.865
    4400.000    3267.625    9308.843   63510.653    13874.251   11581.393     1730.358   68989.372
    4500.000    3117.286    9127.497   63874.272    13721.604   11507.552     1799.841   69470.272
    4600.000    3420.078    8987.509   64671.899    13729.921   11277.150     1966.902   69753.460
    4700.000    3264.613    8397.531   64802.390    13952.907   11401.907     2782.232   70166.540
    4800.000    3383.063    9090.233   64002.093    14139.976   11544.026     1856.253   68969.566
    4900.000    3476.847    8076.077   65206.720    13964.205   11260.724     2935.831   70038.301
    5000.000    3195.581    8480.480   65630.049    13798.809   11284.846     2004.971   70405.957
    5100.000    3495.561    8087.068   65826.165    14004.862   11421.046     2864.752   70698.609
    5200.000    3185.465    9576.389   62624.986    13795.162   11035.170     1064.123   67320.039
    5300.000    3118.562    9234.211   63529.776    13956.997   11300.295     1585.958   68574.680
    5400.000    3431.326    9670.019   63689.111    13935.018   11489.919     1169.996   68652.699
    5500.000    3303.825    9120.760   64346.243    13984.009   11116.159     1418.666   68713.995
    5600.000    3266.753   11042.780   61446.253    13646.116   10957.427     481.026   66052.564
    5700.000    3215.011    9161.551   64335.466    14001.771   11166.876     1428.853   68875.964
    5800.000    3254.196   10529.606   62729.071    13682.863   11113.364      200.969   67635.950
    5900.000    3384.854    9369.766   63885.932    13883.271   11125.878     1595.805   68709.256
    6000.000    3467.262   10830.528   62395.435    14035.582   11400.743      261.159   67385.021
    6100.000    3241.200    8669.432   64657.271    13971.862   10951.115     2132.578   69197.333
    6200.000    3230.852    7556.684   66231.517    13911.790   11234.133     3329.233   71208.925
    6300.000    3333.408    8867.180   64412.604    13749.713   10989.364     2009.950   69195.976
    6400.000    3108.791    9161.193   63580.209    14193.364   11464.827     2111.626   69015.699
    6500.000    2982.127    9086.657   63891.111    13862.446   11146.514     1961.272   69240.980
    6600.000    3313.111    9676.208   63505.955    13755.102   11235.266     1287.280   68636.496
    6700.000    3128.994   10716.300   62519.745    13886.770   11297.382      162.559   67680.221
    6800.000    2967.003    9457.126   62965.255    13875.758   11126.588     1762.331   68468.540
    6900.000    3039.656    9671.363   62587.311    13885.329   11228.886     1475.676   68038.250
    7000.000    3098.618    9811.485   62979.457    13986.327   11215.589     1532.813   68454.399
    7100.000    3215.578    8783.385   63900.635    13944.697   11540.702     2411.178   69475.624
    7200.000    3162.794    8602.150   64309.950    13884.722   11113.161     2474.077   69451.822
    7300.000    3157.645    8670.351   64273.082    14016.003   11204.894     2526.085   69500.765
    7400.000    3331.143    8736.470   63850.821    13843.497   11146.196     2366.499   68925.345
    7500.000    3098.976    9778.011   62082.490    13920.681   11185.101     1482.791   67508.736
    7600.000    3195.757    9697.824   63584.164    13891.096   11115.128     1208.913   68519.177
    7700.000    3263.447    9951.677   62297.154    14203.341   11377.334     1512.755   67672.132
    7800.000    3293.837    9980.689   62877.272    13784.202   11034.253     1071.819   67885.994
    7900.000    2744.814   10067.925   62692.258    13916.496   10968.606     1257.891   68325.371
    8000.000    2933.852   10274.754   62768.465    14093.076   11361.721     1251.804   68629.817
    8100.000    3056.969    9987.993   63136.724    13611.643   11122.086     1094.788   68672.979
    8200.000    3154.409   10286.728   62230.449    14006.242   11192.129      935.854   67484.509
    8300.000    3075.248   10245.079   61865.460    13887.510   11303.962     1145.269   67597.013
    8400.000    3026.842    9573.424   63238.687    13616.164   11043.067     1293.246   68505.417
    8500.000    3100.270    9641.471   63115.462    14208.194   11448.804     1930.520   68827.794
    8600.000    3305.027    9684.902   62777.058    13881.532   11198.392     1725.047   68198.841
    8700.000    3374.828   10137.472   62077.434    13907.346   11289.778      872.731   67095.242
    8800.000    3413.897    9557.283   62399.279    13865.354   11401.475     1576.182   67654.968
    8900.000    3281.341    9952.596   62227.291    13958.654   11159.464     1457.331   67556.687
    9000.000    3278.225    9879.852   62493.020    13813.452   11153.070     1337.348   67771.612
    9100.000    3110.744   10156.774   62297.666    13801.407   11119.407     1251.462   67913.158
    9200.000    3160.923   11021.605   61339.329    13759.641   11270.922      226.962   66938.254
    9300.000    2922.537   11038.751   60817.374    13776.160   11072.614      216.420   66446.461
    9400.000    3453.750   10364.514   61674.761    13797.353   11480.065     1270.186   67538.424
    9500.000    3179.447    9911.709   62042.665    14054.333   11468.096     1479.165   67667.857
    9600.000    3317.732   11773.558   60126.838    13941.847   11482.038     538.066   65584.790
    9700.000    3279.011   10370.899   61831.455    13872.945   11470.342      812.629   67333.368
    9800.000    3268.021   10692.039   62168.294    13656.430   11468.928      339.577   67744.388
    9900.000    3094.585    9885.727   61946.675    13792.412   11572.935     1469.517   67987.857
   10000.000    3027.239   10824.367   60953.305    13810.134   11400.195      547.292   66887.786
   10100.000    2937.115   11183.939   60840.865    13756.613   11271.570      354.650   66957.298
   10200.000    2959.371   10998.171   61312.412    13680.809   11438.764      492.320   67601.486
   10300.000    3005.457   11012.706   61055.138    13469.755   11170.815      177.630   66941.077
   10400.000    2734.288   11099.915   60266.624    13776.796   11356.714      519.153   66731.322
   10500.000    2676.787   10423.399   61710.571    13810.602   11392.837      889.520   67928.938
   10600.000    3017.455   10369.136   60731.765    13910.788   11317.836     1220.962   66711.456
   10700.000    2925.745   10335.714   62465.088    13755.656   11570.118      868.174   68557.692
   10800.000    3052.867   10828.808   61213.406    13286.463   11176.977        4.295   66884.156
   10900.000    3057.513   10051.108   62429.794    13732.781   11434.738     1070.868   68196.214
   11000.000    2824.400    9947.095   62909.199    13731.822   11417.991     1158.999   68877.063
   11100.000    2803.302   10586.378   62607.721    13510.828   11204.961      352.581   68437.512
   11200.000    2822.879   10616.399   62155.277    13709.304   11340.485      480.660   68060.638
   11300.000    2869.440   10818.769   61975.042    13762.676   11250.543      482.288   67894.526
   11400.000    2997.258   10013.524   62407.734    13680.201   11740.559     1319.445   68803.804
   11500.000    3007.764   10545.173   61919.748    13480.103   11256.822      516.370   67750.245
   11600.000    2729.323   10794.561   61809.215    13925.363   11546.936      566.919   68062.945
   11700.000    2636.400    9916.406   62449.407    13774.236   11209.051     1434.198   68598.426
   11800.000    3052.253    9193.906   63906.836    13909.742   11428.934     2279.041   69846.721
   11900.000    2902.837    9561.977   63426.765    13889.911   11633.881     1957.804   69787.678
   12000.000    2937.615    9866.480   63053.211    13958.784   11470.326     1649.953   69143.572
   12100.000    2693.713    9916.891   62405.017    13617.981   11140.334     1262.537   68413.085
   12200.000    2987.756    9966.657   62630.615    13743.105   11540.134     1548.537   68955.082
   12300.000    2927.478    9846.025   62550.271    13732.737   11410.339     1627.655   68774.074
   12400.000    3024.464   10364.643   62067.336    13839.357   11181.573      651.492   67401.223
   12500.000    2989.879   10275.632   62307.196    13583.838   10876.974      706.966   67593.051
   12600.000    2860.219   10625.467   62374.134    13590.259   10752.240      375.460   67676.824
   12700.000    2564.529   10601.216   60829.583    13792.696   11278.436      686.580   67038.589
   12800.000    2908.613   10594.233   61455.633    14008.268   11509.978      758.175   67401.140
   12900.000    2802.564   11365.837   61054.942    13819.797   11388.754     230.308   66956.865
   13000.000    3099.158   11293.379   60952.728    13650.472   11217.165      104.068   66817.710
   13100.000    3052.178    9591.016   63284.096    13834.458   11459.967     1757.246   69205.689
   13200.000    2866.709   10254.717   60746.355    13791.783   11102.803      924.301   66369.685
   13300.000    2854.686   10013.214   61261.985    13728.530   11419.364      810.058   66921.406
   13400.000    3041.548   10759.158   61079.931    13704.387   11313.939      166.658   66573.750
   13500.000    2916.424    9663.381   62879.785    13627.297   11135.736     1336.583   68471.763
   13600.000    2973.041   11540.873   61189.821    13832.215   11429.912     553.468   66801.883
   13700.000    3159.528    9853.360   61932.478    13836.578   11468.839     1152.242   67410.814
   13800.000    3147.915   10452.490   61933.097    13478.343   11268.917      432.090   67460.336
   13900.000    3039.244   10210.723   61947.048    13735.023   11122.471      851.531   67357.505
   14000.000    3207.303   10416.277   62215.947    14070.413   11303.652      658.219   67316.379
