	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
       0.000 -2139572.384    46013.176    29188.719   182552.255      314.874 -2782010.896   384369.488    73223.910       26.908       55.249     6565.211       16.636      231.000   138026.000       54.000     2580.000       64.000      151.000       55.000        0.000       69.031        0.000        8.997       21.107        0.865        0.000        0.545        0.606        0.741
     100.000 -1632974.229   156395.452    90602.693   185044.153     1185.047 -2342995.197   276793.622    43797.477       27.270       55.419     6524.470       16.684      233.000   119736.000       61.000     2467.000       44.000      143.000       52.000        0.000       64.533        0.000        9.689       24.048        1.730        0.000        1.541        1.571        1.783
     200.000 -1622723.915   149739.176    89609.308   185440.912     1136.695 -2323191.221   274541.214    44149.027       27.407       55.447     6740.982       16.876      232.000   118200.000       61.000     2442.000       35.000      158.000       53.000        0.000       67.128        0.000        8.304       23.875        0.692        0.000        1.663        1.692        1.923
     300.000 -1617758.527   144010.508    86720.928   185692.806     1163.243 -2305935.463   270589.451    41932.260       27.484       55.386     6671.279       17.005      233.000   117188.000       49.000     2423.000       43.000      150.000       58.000        0.000       64.706        0.000       10.381       23.183        1.730        0.000        1.542        1.569        1.925
     400.000 -1614916.824   145858.771    87326.489   185505.606     1152.737 -2299590.159   264829.732    42697.680       27.427       55.439     6689.811       17.177      225.000   116554.000       52.000     2516.000       38.000      158.000       58.000        0.000       67.647        0.000        8.997       22.491        0.865        0.000        1.680        1.707        2.015
     500.000 -1614956.048   143354.072    87564.087   185127.659     1085.599 -2298154.513   266067.049    42476.452       27.460       55.448     6627.811       16.972      229.000   116666.000       48.000     2466.000       34.000      154.000       55.000        0.000       68.512        0.000        8.997       21.626        0.865        0.000        1.760        1.778        2.083
     600.000 -1614857.755   144033.683    86567.314   185226.476     1109.482 -2300891.064   269096.354    42475.629       27.435       55.384     6677.691       17.069      247.000   116720.000       54.000     2502.000       42.000      161.000       57.000        0.000       69.377        0.000        6.920       22.318        1.384        0.000        1.804        1.827        2.194
     700.000 -1611079.407   145089.666    86750.338   184733.931     1129.675 -2292699.161   263916.144    41546.526       27.332       55.472     6696.931       17.083      250.000   115888.000       48.000     2495.000       43.000      154.000       60.000        0.000       67.128        0.000        9.689       20.761        2.422        0.000        1.855        1.880        2.241
     800.000 -1611705.623   144242.383    87527.208   184778.174     1175.933 -2293586.385   264157.063    42576.600       27.164       55.448     6790.417       17.277      256.000   115962.000       50.000     2631.000       35.000      149.000       66.000        0.000       67.128        0.000        9.689       21.453        1.730        0.000        1.504        1.530        2.015
     900.000 -1612496.125   143285.551    86876.517   185472.150     1136.260 -2294857.976   265591.373    41584.314       27.345       55.435     6728.653       17.187      244.000   116248.000       49.000     2540.000       34.000      162.000       62.000        0.000       66.263        0.000       10.381       21.799        1.557        0.000        1.784        1.802        2.189
    1000.000 -1610727.606   142677.296    86555.682   184844.346     1221.308 -2290477.720   264451.482    43615.074       27.196       55.440     6628.932       16.766      244.000   116072.000       49.000     2579.000       34.000      161.000       64.000        0.000       67.301        0.000       11.073       20.242        1.384        0.000        1.666        1.690        2.145
    1100.000 -1614144.478   142960.548    85853.149   185484.002     1157.201 -2294827.472   265228.093    42751.980       27.320       55.423     6577.327       16.573      246.000   116512.000       50.000     2449.000       35.000      133.000       65.000        0.000       63.495        0.000        9.689       23.183        3.633        0.000        1.814        1.840        2.243
    1200.000 -1612168.848   144032.159    85840.530   185599.107     1061.100 -2292811.938   264110.194    42936.701       27.240       55.460     6629.988       16.732      257.000   116318.000       46.000     2474.000       32.000      138.000       67.000        0.000       68.685        0.000        7.612       23.010        0.692        0.000        1.772        1.799        2.212
    1300.000 -1610956.771   143042.726    86748.796   185787.301     1056.278 -2296737.397   269145.526    42923.187       27.284       55.453     6648.316       16.828      258.000   115964.000       41.000     2450.000       39.000      144.000       67.000        0.000       69.031        0.000        8.997       19.723        2.249        0.000        1.835        1.864        2.311
    1400.000 -1613142.769   141022.578    85470.747   185714.396     1113.876 -2296279.556   269815.189    42620.890       27.268       55.397     6733.408       16.824      261.000   116146.000       44.000     2529.000       35.000      159.000       70.000        0.000       63.495        0.000       14.533       20.242        1.730        0.000        1.625        1.655        2.146
