	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
       0.000 -2184364.024    34706.580    28641.383   182598.676      306.758 -2821641.074   391023.653    73516.552       26.918       55.235     6500.413       16.583      233.000   137748.000       64.000     2545.000       58.000      156.000       59.000        7.000       68.685        0.000        8.304       21.453        1.557        0.000        0.561        0.618        0.745
     100.000 -1686043.372   157902.531    91016.357   185085.635     1080.223 -2406028.754   284900.637    44227.481       27.328       55.437     6609.309       16.926      231.000   119930.000       43.000     2406.000       44.000      165.000       60.000        7.000       65.744        0.000        9.689       21.107        3.460        0.000        1.323        1.356        1.639
     200.000 -1675452.250   152563.403    90065.664   185418.890     1075.687 -2379130.835   274554.941    42929.808       27.521       55.387     6562.639       17.304      228.000   118000.000       41.000     2442.000       45.000      169.000       62.000        7.000       66.609        0.000        6.228       24.567        2.595        0.000        1.685        1.713        2.008
     300.000 -1672478.523   147394.464    88086.357   185351.777     1129.677 -2370588.172   276147.375    42136.007       27.446       55.402     6509.763       17.062      236.000   117098.000       42.000     2518.000       41.000      161.000       60.000        8.000       65.744        0.000        9.689       23.183        1.384        0.000        1.897        1.920        2.215
     400.000 -1668606.659   146572.020    88147.122   185099.007     1259.519 -2364502.688   274818.362    42640.031       27.364       55.394     6527.874       17.040      258.000   116754.000       45.000     2501.000       59.000      159.000       59.000        7.000       70.761        0.000        6.228       22.318        0.692        0.000        1.876        1.900        2.202
     500.000 -1665932.946   143951.287    87426.547   185105.364     1129.370 -2357470.296   273924.781    43283.876       27.490       55.416     6522.518       17.151      234.000   116280.000       43.000     2459.000       48.000      154.000       65.000        7.000       68.339        0.000        8.997       20.588        2.076        0.000        1.819        1.848        2.167
     600.000 -1666130.124   143605.732    87293.079   184752.048     1128.844 -2357626.569   274716.741    43017.396       27.483       55.422     6484.971       16.880      245.000   116118.000       43.000     2528.000       50.000      164.000       63.000        7.000       66.782        0.000        9.689       22.491        1.038        0.000        2.081        2.104        2.404
     700.000 -1664789.325   145798.968    86446.326   185053.059     1168.776 -2350631.475   267375.021    41221.123       27.473       55.399     6584.216       16.987      243.000   115910.000       42.000     2524.000       45.000      150.000       66.000        7.000       67.993        0.000        8.997       23.010        0.000        0.000        1.991        2.019        2.363
     800.000 -1666995.147   143148.279    87279.410   185190.004     1094.175 -2357478.160   273771.144    41442.716       27.375       55.397     6561.321       16.759      247.000   116118.000       40.000     2540.000       44.000      163.000       74.000        7.000       69.204        0.000        7.612       22.318        0.865        0.000        2.055        2.085        2.442
     900.000 -1666576.786   144585.438    86546.362   185135.786     1143.246 -2355334.684   271347.065    42014.921       27.395       55.414     6537.136       16.745      247.000   115978.000       37.000     2530.000       30.000      153.000       79.000        7.000       70.242        0.000        5.536       24.221        0.000        0.000        1.811        1.840        2.309
    1000.000 -1665805.080   146886.095    87550.172   184297.430     1165.132 -2353871.584   268167.674    41279.721       27.230       55.422     6566.848       16.863      234.000   116156.000       44.000     2476.000       41.000      136.000       78.000        7.000       68.512        0.000        8.997       21.799        0.692        0.000        1.894        1.932        2.378
    1100.000 -1666028.643   144058.102    86991.159   184927.543     1157.749 -2355641.180   272477.984    43010.587       27.234       55.423     6445.640       16.982      224.000   116202.000       37.000     2502.000       27.000      142.000       74.000        7.000       70.761        0.000        5.536       23.010        0.692        0.000        1.845        1.875        2.306
    1200.000 -1664688.210   142772.450    86945.615   185443.506     1123.364 -2352355.401   271382.255    42260.852       27.296       55.382     6574.136       17.206      227.000   116094.000       41.000     2571.000       31.000      169.000       74.000        7.000       69.377        0.000        6.920       19.377        4.325        0.000        1.728        1.760        2.227
    1300.000 -1666638.806   142219.841    87447.470   185367.630     1244.393 -2354838.958   271920.818    41696.771       27.370       55.387     6606.798       17.023      238.000   115916.000       42.000     2486.000       36.000      153.000       64.000        7.000       66.090        0.000       11.765       21.453        0.692        0.000        2.063        2.097        2.473
    1400.000 -1666853.446   142355.531    86766.785   185449.879     1120.445 -2356724.413   274178.328    42244.383       27.430       55.406     6569.646       16.832      242.000   116024.000       38.000     2501.000       40.000      181.000       75.000        7.000       67.647        0.000        7.612       23.356        1.384        0.000        2.068        2.091        2.480
    1500.000 -1665501.104   142262.046    87291.448   184923.893     1132.450 -2353001.747   271890.807    41272.227       27.230       55.393     6604.239       16.915      236.000   116006.000       36.000     2473.000       35.000      145.000       72.000        7.000       66.955        0.000        8.304       23.356        1.384        0.000        1.913        1.944        2.343
    1600.000 -1665979.419   144074.151    85986.614   185322.549     1120.515 -2353377.340   270894.093    42362.367       27.327       55.388     6613.721       17.116      248.000   116012.000       39.000     2520.000       43.000      137.000       77.000        7.000       68.512        0.000        6.920       22.491        2.076        0.000        2.024        2.050        2.448
    1700.000 -1664860.664   142427.357    86478.774   185691.953     1069.276 -2355199.314   274671.290    41625.480       27.417       55.399     6673.124       17.171      263.000   115928.000       40.000     2486.000       32.000      141.000       77.000        8.000       71.107        0.000        7.612       19.723        1.557        0.000        2.493        2.519        2.846
    1800.000 -1664857.515   143543.984    87472.423   185423.375     1100.501 -2354246.678   271848.879    42525.757       27.498       55.376     6569.203       16.981      234.000   115890.000       44.000     2542.000       30.000      173.000       73.000        7.000       67.993        0.000        7.612       22.837        1.557        0.000        2.587        2.610        2.920
    1900.000 -1664484.956   142274.337    87008.305   184788.919     1098.974 -2354944.485   275288.993    42004.391       27.339       55.386     6579.795       17.161      262.000   115978.000       39.000     2582.000       36.000      175.000       68.000        7.000       68.339        0.000        7.612       23.356        0.692        0.000        2.527        2.551        2.856
    2000.000 -1666431.556   143720.672    86914.641   185138.689     1181.285 -2356654.622   273267.779    42146.272       27.260       55.415     6553.732       16.953      243.000   116214.000       37.000     2572.000       36.000      161.000       77.000        7.000       66.263        0.000        7.612       23.356        2.768        0.000        1.968        1.998        2.421
    2100.000 -1666542.809   143356.341    86475.948   185096.544     1151.455 -2354724.970   272101.872    43084.799       27.318       55.378     6656.746       16.969      244.000   116108.000       39.000     2506.000       49.000      183.000       75.000        8.000       68.512        0.000        7.612       21.453        2.422        0.000        2.399        2.430        2.763
    2200.000 -1667654.402   143832.306    86515.230   185306.931     1178.849 -2355852.364   271364.647    42172.223       27.362       55.414     6600.337       16.970      228.000   116246.000       45.000     2530.000       47.000      177.000       76.000        7.000       67.301        0.000        6.920       22.145        3.633        0.000        2.213        2.239        2.598
    2300.000 -1667770.945   145250.536    86379.224   185032.152     1150.318 -2355829.441   270246.265    42498.979       27.296       55.407     6641.903       16.982      246.000   116186.000       45.000     2521.000       42.000      179.000       72.000        7.000       67.474        0.000        9.689       22.145        0.692        0.000        2.399        2.417        2.747
