	Time[ps] Energy[kJ/mol]		Bond 		Angle 		Dihedral 	Planarity 	   Coulomb 			VdW 	SAS_HSA     Rg_HSA1 		Rg_HSA2  	SAS_HA 		  Rg_HA 	HA-HSA_Hbo 	HSA-HSA-Hbo 	HSA-HSA-HP HSA-HSA-HP     CationPi 		PiPi 		 Ionic 		Ion_dist 		helix 		 sheet		   turn  	   coil 	3-10 helix 		Other  			CA 		 Backbone 	HeavyAtoms
       0.000 -2073734.765    43822.989    26941.355   182363.726      286.003 -2699655.671   372506.833    73003.501       26.852       55.217     6533.486       16.573      247.000   137112.000       47.000     2585.000       68.000      156.000       72.000        0.000       68.685        0.000        6.920       22.145        2.249        0.000        0.492        0.554        0.677
     100.000 -1573781.374   155293.205    89961.229   184784.934     1064.987 -2276670.511   271784.782    44048.916       27.294       55.400     6854.888       17.130      264.000   119226.000       52.000     2464.000       58.000      144.000       59.000        0.000       67.647        0.000        6.228       23.356        2.768        0.000        1.324        1.356        1.682
     200.000 -1565234.383   149424.262    89104.999   184534.634     1069.528 -2254816.511   265448.705    42991.400       27.304       55.415     6932.213       17.112      263.000   117698.000       56.000     2481.000       48.000      145.000       60.000        0.000       66.955        0.000        6.228       24.567        2.249        0.000        1.553        1.583        1.870
     300.000 -1558446.833   147689.536    87582.606   184619.673     1066.103 -2241386.481   261981.730    41247.601       27.492       55.447     6923.345       17.591      264.000   116544.000       54.000     2457.000       45.000      134.000       67.000        0.000       65.225        0.000        8.304       23.010        3.460        0.000        1.645        1.673        2.100
     400.000 -1558749.957   145497.441    86759.689   185296.620     1146.390 -2237062.836   259612.739    41435.856       27.526       55.409     7058.424       17.544      263.000   116756.000       50.000     2550.000       48.000      152.000       66.000        0.000       62.457        0.000       13.841       22.837        0.865        0.000        1.640        1.665        2.103
     500.000 -1557494.590   143244.804    86563.033   185469.703     1153.172 -2234119.531   260194.229    42350.211       27.629       55.388     6932.795       17.605      275.000   116410.000       59.000     2484.000       43.000      153.000       69.000        0.000       67.993        0.000        6.228       24.913        0.865        0.000        1.982        2.008        2.379
     600.000 -1557524.183   143043.436    86479.847   184885.108     1093.400 -2232644.477   259618.502    42723.313       27.616       55.391     7055.313       17.363      271.000   116326.000       60.000     2578.000       37.000      173.000       69.000        0.000       69.723        0.000        6.920       22.491        0.865        0.000        2.129        2.150        2.538
     700.000 -1556124.109   141849.785    87360.750   185084.058     1138.003 -2233549.412   261992.707    43983.935       27.574       55.399     6999.811       17.409      274.000   116288.000       57.000     2498.000       48.000      126.000       80.000        0.000       67.128        0.000       11.073       21.799        0.000        0.000        1.777        1.799        2.268
     800.000 -1555529.694   143059.049    86581.745   184847.079     1178.992 -2232607.430   261410.871    41099.743       27.701       55.424     6859.020       17.177      263.000   116056.000       60.000     2504.000       52.000      158.000       71.000        0.000       66.436        0.000       11.765       21.107        0.692        0.000        2.135        2.154        2.585
     900.000 -1554063.475   143002.422    87274.583   185717.502     1077.947 -2231868.373   260732.443    42277.627       27.652       55.426     6881.082       17.103      272.000   116020.000       59.000     2552.000       30.000      153.000       83.000        0.000       67.128        0.000       10.381       21.626        0.865        0.000        2.118        2.135        2.593
    1000.000 -1555222.572   143481.170    86068.767   185036.237     1125.078 -2232419.064   261485.241    43137.491       27.507       55.418     7021.645       17.544      264.000   115968.000       54.000     2529.000       51.000      144.000       85.000        0.000       65.052        0.000       13.841       20.415        0.692        0.000        2.115        2.134        2.611
    1100.000 -1555285.658   141634.149    86297.819   184685.776     1159.309 -2231913.384   262850.673    42635.065       27.656       55.356     6943.861       17.406      264.000   115792.000       61.000     2571.000       44.000      143.000       84.000        0.000       70.934        0.000        6.920       21.280        0.865        0.000        2.091        2.107        2.561
    1200.000 -1556986.307   143104.146    86688.207   184733.755     1153.477 -2231322.577   258656.685    41711.625       27.547       55.417     7076.193       17.673      267.000   116064.000       65.000     2511.000       37.000      147.000       81.000        0.000       68.512        0.000        8.997       20.934        1.557        0.000        1.972        1.988        2.502
    1300.000 -1557933.585   144295.618    85409.988   185637.029     1178.664 -2231948.649   257493.765    42236.389       27.410       55.401     7022.038       17.532      266.000   116472.000       62.000     2528.000       43.000      155.000       78.000        0.000       66.955        0.000        8.304       24.048        0.692        0.000        1.737        1.755        2.316
    1400.000 -1555797.214   142940.626    86710.130   184728.268     1194.571 -2232174.131   260803.322    42862.183       27.417       55.380     7000.078       17.858      266.000   115732.000       62.000     2482.000       44.000      144.000       81.000        0.000       66.090        0.000        9.689       21.799        2.422        0.000        1.747        1.770        2.407
    1500.000 -1556330.454   144743.540    86538.742   184997.310     1140.291 -2233975.939   260225.603    42902.017       27.635       55.411     7080.562       17.562      269.000   116052.000       58.000     2470.000       39.000      141.000       83.000        0.000       66.609        0.000        8.997       21.107        3.287        0.000        1.967        1.987        2.518
    1600.000 -1556305.864   142009.143    86287.923   185216.086     1087.892 -2231542.759   260635.849    42889.861       27.468       55.385     7001.312       17.334      262.000   116044.000       64.000     2509.000       46.000      154.000       74.000        0.000       69.377        0.000        8.304       21.280        1.038        0.000        1.996        2.012        2.540
    1700.000 -1556146.206   143673.240    86475.341   184958.355     1097.681 -2231813.724   259462.900    42855.792       27.534       55.423     7131.394       17.569      274.000   115864.000       59.000     2491.000       30.000      134.000       74.000        0.000       69.377        0.000        6.920       23.010        0.692        0.000        2.086        2.097        2.625
    1800.000 -1554738.144   141723.124    86533.052   185262.276     1190.948 -2230863.194   261415.650    42347.868       27.430       55.404     7067.796       17.425      260.000   115756.000       59.000     2465.000       30.000      134.000       71.000        0.000       68.685        0.000        8.304       21.453        1.557        0.000        1.825        1.840        2.408
    1900.000 -1555843.294   142917.317    85969.651   184833.974     1212.251 -2233308.703   262532.216    42502.306       27.482       55.432     7147.119       17.530      265.000   116158.000       60.000     2481.000       21.000      148.000       73.000        0.000       68.512        0.000        6.228       25.260        0.000        0.000        1.935        1.950        2.507
    2000.000 -1556461.691   142713.832    86329.833   185153.005     1084.806 -2234255.238   262512.072    43454.087       27.469       55.424     7239.437       17.866      256.000   116272.000       58.000     2510.000       26.000      163.000       71.000        0.000       67.820        0.000        9.689       21.107        1.384        0.000        1.916        1.933        2.537
    2100.000 -1557781.379   145695.395    85696.350   184486.990     1214.372 -2233149.533   258275.046    42359.538       27.382       55.381     7190.170       17.770      276.000   115802.000       56.000     2528.000       27.000      155.000       77.000        0.000       67.820        0.000        6.920       24.394        0.865        0.000        1.852        1.869        2.506
    2200.000 -1556962.995   141924.556    86454.280   185696.356     1184.476 -2232669.569   260446.906    42709.643       27.426       55.412     7309.105       17.925      269.000   116060.000       50.000     2484.000       41.000      148.000       80.000        0.000       70.069        0.000        8.997       20.934        0.000        0.000        1.962        1.976        2.593
    2300.000 -1554813.594   142038.166    86095.936   185028.902     1115.605 -2229012.200   259919.998    42290.651       27.375       55.430     7311.607       17.743      267.000   115704.000       53.000     2542.000       21.000      151.000       83.000        0.000       67.474        0.000        6.228       25.433        0.865        0.000        2.082        2.096        2.724
    2400.000 -1556183.142   140887.109    85755.697   185825.094     1113.394 -2229440.429   259675.992    42681.115       27.337       55.405     7204.598       17.461      272.000   115924.000       61.000     2543.000       23.000      166.000       79.000        0.000       70.588        0.000        6.920       21.626        0.865        0.000        2.125        2.138        2.722
    2500.000 -1556919.622   143824.071    86515.962   185284.830     1179.888 -2230689.791   256965.417    42515.047       27.418       55.404     7260.644       17.627      260.000   115846.000       56.000     2555.000       37.000      153.000       74.000        0.000       68.858        0.000        8.304       22.837        0.000        0.000        2.244        2.254        2.865
    2600.000 -1556890.740   142456.534    86274.365   185654.164     1080.918 -2234078.521   261721.800    42768.721       27.541       55.407     7292.811       17.577      273.000   116052.000       53.000     2512.000       36.000      158.000       65.000        0.000       71.799        0.000        5.536       21.972        0.692        0.000        2.134        2.142        2.771
    2700.000 -1556013.287   143660.807    86906.066   185554.502     1144.028 -2230369.692   257091.002    41614.259       27.439       55.418     7186.196       17.506      265.000   115898.000       48.000     2512.000       24.000      147.000       73.000        0.000       68.858        0.000        5.536       24.913        0.692        0.000        2.109        2.120        2.717
    2800.000 -1555629.127   141547.792    86175.099   185542.024     1111.994 -2233046.903   263040.866    42635.079       27.598       55.406     7375.850       17.508      275.000   116144.000       58.000     2543.000       38.000      163.000       72.000        0.000       69.031        0.000        6.920       23.356        0.692        0.000        2.224        2.238        2.758
    2900.000 -1555156.966   142235.161    85544.104   185488.144     1050.173 -2231259.969   261785.422    42747.962       27.476       55.391     7212.008       17.256      276.000   115848.000       63.000     2547.000       48.000      144.000       77.000        0.000       67.993        0.000        7.612       23.529        0.865        0.000        2.343        2.355        2.842
    3000.000 -1556025.887   144301.086    85830.574   185348.974     1131.640 -2232132.979   259494.818    43217.718       27.627       55.440     7339.774       17.363      270.000   116120.000       57.000     2495.000       32.000      167.000       87.000        0.000       67.474        0.000        6.920       25.606        0.000        0.000        2.376        2.388        2.840
    3100.000 -1555584.266   145460.299    86261.288   185601.672     1112.330 -2232667.124   258647.269    42659.851       27.591       55.435     7359.677       17.334      271.000   115748.000       52.000     2454.000       28.000      141.000       76.000        0.000       68.685        0.000       11.073       20.242        0.000        0.000        2.585        2.594        3.047
    3200.000 -1553896.346   143241.782    86170.111   185301.448     1148.582 -2228918.992   259160.723    41546.098       27.392       55.403     7192.610       17.286      269.000   115602.000       59.000     2505.000       32.000      155.000       84.000        0.000       66.263        0.000       10.381       22.318        1.038        0.000        2.444        2.452        2.890
    3300.000 -1555056.134   141014.388    86640.729   185520.038     1169.605 -2229209.347   259808.451    41866.931       27.375       55.401     7263.339       17.524      262.000   116012.000       53.000     2569.000       30.000      173.000       69.000        0.000       69.896        0.000        6.228       23.875        0.000        0.000        2.355        2.368        2.850
    3400.000 -1555862.576   142659.156    86356.672   184993.078     1200.062 -2227932.463   256860.918    42219.348       27.412       55.436     7276.803       17.383      278.000   115564.000       57.000     2573.000       36.000      179.000       78.000        0.000       68.685        0.000        6.920       22.837        1.557        0.000        2.571        2.583        3.025
    3500.000 -1554933.620   142523.968    86804.245   185776.984     1168.968 -2230855.805   259648.021    42844.067       27.337       55.393     7266.456       17.524      267.000   115994.000       49.000     2598.000       33.000      190.000       75.000        0.000       70.242        0.000        6.228       22.837        0.692        0.000        2.415        2.426        2.926
    3600.000 -1554815.322   139811.692    87289.109   185642.941     1144.358 -2233392.730   264689.309    42832.464       27.323       55.386     7233.101       17.514      266.000   115938.000       56.000     2580.000       22.000      176.000       72.000        0.000       70.415        0.000        8.997       20.588        0.000        0.000        2.153        2.169        2.635
    3700.000 -1555620.474   144516.515    86198.590   185969.929     1074.695 -2227554.747   254174.544    42063.225       27.484       55.456     7266.079       17.641      278.000   116004.000       54.000     2421.000       31.000      177.000       76.000        0.000       66.263        0.000       13.149       19.031        1.557        0.000        2.420        2.444        2.877
    3800.000 -1555217.795   142657.178    85533.841   185569.098     1173.230 -2230068.988   259917.845    41607.242       27.348       55.408     7270.684       17.697      267.000   116048.000       60.000     2570.000       30.000      175.000       80.000        0.000       68.166        0.000        6.920       24.221        0.692        0.000        2.266        2.282        2.785
    3900.000 -1556772.037   144612.938    86811.164   185306.059     1139.822 -2233819.242   259177.222    43693.775       27.509       55.452     7209.446       17.457      278.000   116124.000       59.000     2428.000       33.000      171.000       76.000        0.000       68.512        0.000        8.997       22.491        0.000        0.000        2.380        2.400        2.877
    4000.000 -1557508.551   142248.539    86500.466   185817.117     1178.558 -2234459.609   261206.378    42097.737       27.302       55.394     7365.762       17.652      279.000   115982.000       58.000     2617.000       35.000      174.000       75.000        0.000       66.955        0.000        6.920       24.740        1.384        0.000        2.273        2.291        2.796
    4100.000 -1555246.700   142948.644    86764.840   185813.339     1118.319 -2230003.957   258112.115    41545.078       27.337       55.406     7316.039       17.720      285.000   115824.000       58.000     2551.000       35.000      178.000       78.000        0.000       70.588        0.000        4.844       24.567        0.000        0.000        2.426        2.442        2.968
    4200.000 -1554743.780   141406.896    86750.950   185535.363     1113.100 -2228019.620   258469.531    42473.088       27.421       55.425     7323.401       17.511      280.000   116040.000       58.000     2572.000       44.000      182.000       81.000        0.000       70.761        0.000        8.304       19.204        1.730        0.000        2.395        2.409        2.876
    4300.000 -1557428.767   141572.983    86599.259   185849.293     1154.061 -2232423.016   259818.654    43359.359       27.411       55.420     7298.589       17.430      283.000   116062.000       58.000     2514.000       38.000      160.000       85.000        0.000       68.166        0.000        7.612       23.356        0.865        0.000        2.249        2.263        2.754
    4400.000 -1558232.438   142518.576    85506.947   185545.134     1112.279 -2233144.899   260229.524    43433.259       27.351       55.417     7349.659       17.546      278.000   116062.000       61.000     2558.000       39.000      159.000       83.000        0.000       69.377        0.000        7.612       22.318        0.692        0.000        2.344        2.354        2.855
    4500.000 -1555833.144   141893.033    86689.583   185491.958     1042.076 -2230352.167   259402.374    41944.459       27.332       55.415     7310.766       17.677      286.000   115784.000       54.000     2619.000       40.000      187.000       84.000        0.000       66.955        0.000        8.304       21.799        2.941        0.000        2.244        2.256        2.793
    4600.000 -1555595.654   142693.037    85739.238   185430.333     1141.150 -2229207.822   258608.411    42158.971       27.308       55.405     7255.816       17.717      271.000   115668.000       58.000     2592.000       36.000      167.000       87.000        0.000       66.090        0.000       10.381       23.529        0.000        0.000        2.068        2.084        2.657
    4700.000 -1556885.963   144160.994    86005.986   185243.430     1121.190 -2232619.826   259202.261    42045.749       27.228       55.438     7244.444       17.540      259.000   116274.000       60.000     2631.000       41.000      190.000       82.000        0.000       65.744        0.000        6.920       25.260        2.076        0.000        2.230        2.240        2.737
    4800.000 -1556878.329   143098.100    86511.538   185139.161     1170.237 -2232763.940   259966.575    42539.721       27.219       55.452     7264.428       17.572      274.000   115796.000       60.000     2651.000       36.000      198.000       76.000        0.000       67.820        0.000        6.228       25.952        0.000        0.000        2.049        2.057        2.574
    4900.000 -1555180.399   142915.820    86580.627   185138.946     1097.048 -2231266.977   260354.137    42972.539       27.300       55.396     7308.406       17.814      275.000   116176.000       57.000     2633.000       37.000      176.000       70.000        0.000       70.242        0.000        5.536       21.799        2.422        0.000        2.052        2.064        2.646
    5000.000 -1554457.824   139608.506    85516.600   186096.377     1153.152 -2231229.598   264397.139    42671.259       27.308       55.380     7263.452       17.615      256.000   115844.000       54.000     2629.000       39.000      170.000       74.000        0.000       65.225        0.000        9.689       22.318        2.768        0.000        2.123        2.141        2.671
    5100.000 -1556156.810   141651.203    86576.872   185488.767     1183.795 -2232177.081   261119.634    42596.948       27.323       55.405     7266.059       17.485      281.000   116014.000       55.000     2549.000       35.000      173.000       78.000        0.000       66.090        0.000        9.689       22.318        1.903        0.000        2.175        2.189        2.691
    5200.000 -1557598.211   143474.513    85391.329   185580.928     1113.660 -2231927.774   258769.133    42391.429       27.396       55.416     7333.580       17.438      272.000   116126.000       56.000     2510.000       25.000      163.000       83.000        0.000       65.225        0.000        5.536       28.547        0.692        0.000        2.189        2.210        2.710
    5300.000 -1556758.867   143478.132    85869.245   185626.858     1082.136 -2230508.238   257693.000    42879.244       27.300       55.443     7269.379       17.258      269.000   115994.000       54.000     2605.000       36.000      182.000       69.000        0.000       67.820        0.000        8.304       22.491        1.384        0.000        2.080        2.101        2.631
    5400.000 -1557031.574   142985.619    86296.168   185030.402     1103.557 -2234280.430   261833.111    42413.461       27.325       55.419     7156.416       17.221      261.000   115884.000       52.000     2563.000       36.000      151.000       77.000        0.000       71.280        0.000        6.920       21.799        0.000        0.000        2.065        2.082        2.620
    5500.000 -1556494.646   146013.025    85962.168   185473.503     1191.140 -2230490.593   255356.110    43019.399       27.298       55.443     7244.127       17.339      258.000   115954.000       61.000     2616.000       37.000      178.000       71.000        0.000       68.685        0.000       10.381       20.242        0.692        0.000        2.153        2.167        2.662
    5600.000 -1554936.857   141340.234    85859.693   185192.014     1178.020 -2230314.975   261808.157    41854.839       27.212       55.400     7205.151       17.475      281.000   115796.000       64.000     2649.000       43.000      175.000       79.000        0.000       66.782        0.000       11.073       22.145        0.000        0.000        2.160        2.169        2.704
    5700.000 -1556341.770   143941.550    85197.216   185419.228     1099.243 -2231025.268   259026.260    42372.285       27.253       55.441     7305.539       17.540      281.000   115732.000       59.000     2605.000       38.000      165.000       73.000        0.000       67.301        0.000        9.689       22.318        0.692        0.000        2.125        2.138        2.648
    5800.000 -1557045.460   143285.011    84943.536   185080.583     1145.320 -2226759.810   255259.900    42193.819       27.209       55.402     7183.095       17.564      251.000   115656.000       58.000     2590.000       30.000      163.000       83.000        0.000       64.014        0.000       10.381       24.913        0.692        0.000        1.939        1.953        2.572
    5900.000 -1555923.900   141510.161    85800.805   185961.736     1130.425 -2229150.224   258823.199    42791.987       27.297       55.422     7170.336       17.364      266.000   116100.000       58.000     2551.000       41.000      172.000       75.000        0.000       69.377        0.000        8.997       21.626        0.000        0.000        2.226        2.243        2.778
    6000.000 -1556835.123   138690.061    85894.123   185608.353     1115.258 -2231425.039   263282.120    42538.412       27.178       55.346     7100.823       17.321      266.000   116104.000       57.000     2586.000       33.000      183.000       72.000        0.000       70.242        0.000        8.997       20.761        0.000        0.000        2.052        2.068        2.626
    6100.000 -1555010.285   145221.299    86518.288   185586.223     1198.697 -2232250.317   258715.524    42589.707       27.214       55.403     7216.841       17.456      271.000   115874.000       63.000     2652.000       45.000      192.000       82.000        0.000       65.744        0.000        9.689       21.799        2.768        0.000        2.128        2.142        2.708
    6200.000 -1556576.676   143940.766    86272.714   185391.339     1152.178 -2230382.999   257049.326    42444.030       27.331       55.418     7186.803       17.496      274.000   115918.000       53.000     2553.000       36.000      161.000       78.000        0.000       65.917        0.000       10.381       22.145        1.557        0.000        2.205        2.219        2.719
    6300.000 -1555838.177   142763.367    86793.336   185099.900     1153.542 -2233009.659   261361.337    42253.409       27.242       55.396     7214.710       17.385      274.000   116058.000       57.000     2598.000       38.000      159.000       80.000        0.000       67.993        0.000        9.689       20.415        1.903        0.000        2.170        2.192        2.711
    6400.000 -1556323.956   143129.614    86888.637   185462.263     1111.103 -2230851.735   257936.162    42296.883       27.364       55.377     7326.525       17.513      280.000   115660.000       57.000     2622.000       32.000      172.000       75.000        0.000       65.052        0.000       13.149       20.069        1.730        0.000        2.334        2.351        2.846
    6500.000 -1556009.727   145818.960    86398.219   184929.000     1127.162 -2230559.267   256276.200    41818.645       27.478       55.409     7255.698       17.399      276.000   115796.000       53.000     2590.000       33.000      160.000       79.000        0.000       67.647        0.000       10.381       21.972        0.000        0.000        2.242        2.258        2.768
    6600.000 -1555785.064   142453.922    86052.177   185308.809     1087.363 -2232323.700   261636.366    43536.272       27.386       55.400     7214.869       17.306      281.000   115990.000       51.000     2615.000       31.000      181.000       76.000        0.000       69.204        0.000        7.612       22.318        0.865        0.000        2.240        2.257        2.744
